ID,Name,City,S/P,Country,Arena,Arena Capacity,Founded,Joined
ANA,Anaheim Ducks,Anaheim,CA,USA,Honda Center,17174,1993,1993
ARI,Arizona Coyotes,Glendale,AZ,USA,Gila River Arena,17125,1972,1979
BOS,Boston Bruins,Boston,MA,USA,TD Garden,17565,1924,1924
BUF,Buffalo Sabres,Buffalo,NY,USA,KeyBank Center,19070,1970,1970
CGY,Calgary Flames,Calgary,AB,CAN,Scotiabank Saddledome,19289,1972,1972
CAR,Carolina Hurricanes,Raleigh,NC,USA,PNC Arena,18680,1972,1979
CHI,Chicago Blackhawks,Chicago,IL,USA,United Center,19717,1926,1926
COL,Colorado Avalanche,Denver,CO,USA,Pepsi Center,18007,1972,1979
CBJ,Columbus Blue Jackets,Columbus,OH,USA,Nationwide Arena,18500,2000,2000
DAL,Dallas Stars,Dallas,TX,USA,American Airlines Center,18532,1972,1979
DET,Detroit Red Wings,Detroit,MI,USA,Joe Louis Arena,20027,1926,1926
EDM,Edmonton Oilers,Edmonton,AB,CAN,Rogers Place,18641,1972,1979
FLA,Florida Panthers,Sunrise,FL,USA,BB&T Center,19250,1993,1993
LAK,Los Angeles Kings,Los Angeles,CA,USA,Staples Center,18230,1967,1967
MIN,Minnesota Wild,St. Paul,MN,USA,Xcel Energy Center,17954,2000,2000
MTL,Montreal Canadiens,Montreal,QC,CAN,Bell Centre,21288,1909,1917
NSH,Nashville Predators,Nashville,TN,USA,Bridgestone Arena,17113,1998,1998
NJD,New Jersey Devils,Newark,NJ,USA,Prudential Center,16514,1974,1974
NYI,New York Islanders,New York,NY,USA,Barclays Center,15795,1972,1972
NYR,New York Rangers,New York,NY,USA,Madison Square Garden,18006,1926,1926
OTT,Ottawa Senators,Ottawa,ON,CAN,Canadian Tire Centre,18694,1992,1992
PHI,Philidelphia Flyers,Philidelphia,PA,USA,Wells Fargo Center,19543,1967,1967
PIT,Pittsburgh Penguins,Pittsburgh,PA,USA,Console Energy Center,18387,1967,1967
STL,St. Louis Blues,St. Louis,MO,USA,Scottrade Center,19150,1967,1967
SJS,San Jose Sharks,San Jose,CA,USA,SAP Center at San Jose,17562,1991,1991
TBL,Tampa Bay Lightning,Tampa Bay,FL,USA,Amalie Arena,19092,1992,1992
TOR,Toronto Maple Leafs,Toronto,ON,CAN,Air Canada Centre,18819,1917,1917
VAN,Vancouver Canucks,Vancouver,BC,CAN,Rogers Arena,18910,1945,1970
WSH,Washington Capitals,Washington ,DC,USA,Verizon Center,18506,1974,1974
WPG,Winnipeg Jets,Winnipeg,MB,CAN,MTS Centre,15294,1999,1999